Estimate	Std. Error	z value	Pr(>|z|)
(Intercept)	-3.03306542687544	0.646810793351609	-4.68926223565143	2.74191820951614e-06
prompt.L	0.296813621165231	0.187638213624124	1.58183994311418	0.113686113958803
industry11	1.35358626471526	0.800953321526544	1.6899689761389	0.0910338900850114
industry13	1.08137921630065	0.825272706197537	1.31032955310388	0.190084373973895
industry15	2.34620079670819	0.860390278726819	2.72690295871315	0.00639318379786341
industry17	0.229339294045636	0.80951275391397	0.28330534996118	0.776942776543099
industry19	0.521727305587374	0.791372166302275	0.65926921340331	0.509722908349044
industry21	-0.0340440229899519	1.2066726514602	-0.0282131387901724	0.977492158156966
industry23	-2.08396564758327	1.67892905882473	-1.24124699410592	0.21451451928095
industry25	1.59867785719334	0.786220838783253	2.03336998758191	0.0420151571406121
industry27	-1.01671813454482	0.894603508655208	-1.13650139386685	0.255746782536827
industry29	1.13499312788353	0.744328134820537	1.52485587308504	0.127295050218652
industry31	2.79954128461608	1.00446887423345	2.78708614714669	0.00531843384536448
industry33	-1.33042372613981	1.0005462538366	-1.32969737384784	0.18361800046017
industry35	-1.54558312102956	1.16502315147463	-1.32665442662941	0.184623022887156
industry37	-4.00232227506125	1.64669059627931	-2.43052476531078	0.0150769756446766
industry41	1.07575466623779	1.00975976385625	1.06535703317144	0.286714392674665
industry43	-0.637160994856088	0.843005054702496	-0.755821084703873	0.449756473400749
industry45	-1.5954091538235	1.31803669207927	-1.21044365715393	0.226108698319603
industry47	-1.86409618013901	0.823080188189408	-2.2647807672781	0.0235261362309068
industry49	-3.10792932459495	0.879661909081272	-3.53309526365749	0.000410724443919064
industry51	-3.64199783981611	0.760680527882626	-4.78781526057162	1.68606745593635e-06
industry53	-2.92021985249839	0.849218124602983	-3.4387158821694	0.000584480305198734
prompt.L:industry11	0.74026675350828	0.23031386994767	3.21416488584243	0.00130824524565942
prompt.L:industry13	1.37848625629204	0.24565917770858	5.61137698640067	2.00722950541652e-08
prompt.L:industry15	1.25521248349712	0.248601314144748	5.04909834372908	4.43900191288354e-07
prompt.L:industry17	2.21881543486299	0.260367924768779	8.52184629436757	1.57029699331342e-17
prompt.L:industry19	1.86963384259399	0.243581796719488	7.67558934113244	1.64659844794521e-14
prompt.L:industry21	1.70521717204444	0.44620863518197	3.82156918892668	0.000132605197914304
prompt.L:industry23	1.97120017868227	0.694121423996543	2.83984921158707	0.0045134863211146
prompt.L:industry25	-0.868945493757683	0.221352330908551	-3.92562161053852	8.65060514757943e-05
prompt.L:industry27	0.641172128413588	0.273009928664378	2.34853044191592	0.0188476584523075
prompt.L:industry29	0.148230576160165	0.210159054815928	0.705325670074012	0.480607589039503
prompt.L:industry31	0.741817129712532	0.265323045088973	2.79590161293291	0.00517551534594225
prompt.L:industry33	0.348274745760644	0.298021275699122	1.16862376668791	0.242555248356583
prompt.L:industry35	-0.223517244634679	0.372285614161067	-0.600391839309631	0.548245125205317
prompt.L:industry37	0.0766278025465232	0.758237551448089	0.101060416224676	0.919502500395209
prompt.L:industry41	0.51581850496808	0.28184745656872	1.83013361641712	0.0672299612816459
prompt.L:industry43	1.87966736634511	0.279971032302246	6.71379231947075	1.89630156492774e-11
prompt.L:industry45	2.59525809543065	0.592867324165424	4.37746859988276	1.20065651978541e-05
prompt.L:industry47	2.07917015278478	0.301444698983378	6.89735185192104	5.29808470320835e-12
prompt.L:industry49	2.86206136605008	0.385070192737486	7.43257052877431	1.06507278190066e-13
prompt.L:industry51	2.02085524889755	0.294049492654721	6.87250037622231	6.30862140172324e-12
prompt.L:industry53	1.56783349684278	0.321359113184541	4.87875847461171	1.06755695253277e-06
