Estimate	Std. Error	z value	Pr(>|z|)
(Intercept)	-12.2317526628438	4.7536029560176	-2.57315404252676	0.0100776342636289
prompt.L	1.6752070195707	0.522610597014312	3.20545934036012	0.00134847096743267
industry11	22.7419296328563	5.70077132041068	3.98927239046276	6.62762799015354e-05
industry13	2.03785303697257	5.77553390016855	0.352842364393897	0.724206621617683
industry15	1.58042094951833	5.96435099828964	0.264977857602871	0.791026519370914
industry17	0.779402091864423	5.79196918533847	0.134565994210979	0.892955029689535
industry19	1.46720278870948	5.60106255042308	0.261950795139514	0.793359377618906
industry21	1.59839661644299	8.64803604911742	0.184827700458778	0.853364180341466
industry23	-0.828429314242922	13.4600702080575	-0.0615471763101954	0.950923444329928
industry25	2.27409343405038	5.59367684054585	0.406547160101667	0.684340612920489
industry27	0.795378769029406	6.63532251931969	0.119870400679627	0.904585812209379
industry29	1.91183459067125	5.36082534906453	0.356630642892492	0.721368334266159
industry31	23.2780206527882	7.6409504044447	3.0464823641896	0.0023153606133931
industry33	-0.402184641855372	7.92984821443055	-0.0507178234664677	0.959550373854359
industry35	-12.512166772793	5263.25663644556	-0.00237726708710197	0.998103217080876
industry37	-16.3607843234059	243136.775213479	-6.72904553786271e-05	0.999946309984605
industry39	0.597956843600078	7.20305846551957	0.0830142982265724	0.933840170516085
industry41	1.52037342176495	6.95976115824809	0.218451953622452	0.827076989702604
industry43	0.636938999052116	6.12786425761049	0.103941434123817	0.917215825493899
industry45	-1.98580855885869	10.100759840057	-0.196599918254019	0.844140634586169
industry47	-0.240556568671986	6.45471986161314	-0.0372683205203994	0.970271064499376
industry51	-0.442323916778324	6.04736082387188	-0.0731432983182111	0.941692086834783
industry53	-0.208389939745157	6.90224379410745	-0.0301916226029372	0.975914229681837
prompt.L:industry11	-0.47165513422027	0.566181911638414	-0.833045218374068	0.404819227484907
prompt.L:industry13	-0.21683746505541	0.601098581626954	-0.360735279841303	0.718297348519864
prompt.L:industry15	1.11889668622282	0.704377394003137	1.5884903401909	0.112175503667513
prompt.L:industry17	0.45044616308521	0.600768399903515	0.749783382677174	0.45338517851972
prompt.L:industry19	0.251624095051743	0.581679377728707	0.432582114281348	0.665318385473792
prompt.L:industry21	-1.67530093005069	2.678955200359	-0.625356082784134	0.53173737916348
prompt.L:industry23	1.2255531292369	2.27199073985633	0.539418188524129	0.589598333586142
prompt.L:industry25	-2.29569700754784	0.585019407461599	-3.92413820510482	8.70407589359804e-05
prompt.L:industry27	-1.5042465182796	0.594184309823693	-2.53161602117353	0.0113538248659696
prompt.L:industry29	-1.14082360484469	0.549738059194953	-2.07521306877557	0.0379667919472969
prompt.L:industry31	-1.15460886352625	0.651934886915424	-1.77104935891556	0.0765524941045158
prompt.L:industry33	0.194364544953048	0.656526542673859	0.296049789794412	0.767192057937264
prompt.L:industry35	-17.9209205686471	7443.32298439051	-0.00240765053541667	0.998078974665943
prompt.L:industry37	-4.44544106009181	343847.324826597	-1.29285317613963e-05	0.999989684524114
prompt.L:industry39	-1.93264117307018	0.586893187908736	-3.29300324639432	0.000991233300820747
prompt.L:industry41	-3.67267781500824	0.928108539079878	-3.95716412505946	7.58448215058939e-05
prompt.L:industry43	0.290228923080455	0.713344524452255	0.406856593317666	0.684113318149817
prompt.L:industry45	3.13624595023117	2.03033366490787	1.54469484717601	0.122420091848544
prompt.L:industry47	-0.759523417832852	0.565710249340899	-1.34260147967579	0.179401050989378
prompt.L:industry51	-0.602178670236923	0.56578076623641	-1.06433216922985	0.287178249892049
prompt.L:industry53	-1.48197085193317	0.571040639437008	-2.59521083016832	0.00945329121747348
