utilization.gpu [%], memory.used [MiB]
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
1 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
2 %, 449 MiB
0 %, 449 MiB
0 %, 449 MiB
0 %, 2369 MiB
0 %, 4989 MiB
0 %, 5039 MiB
0 %, 5049 MiB
5 %, 5061 MiB
66 %, 5063 MiB
0 %, 5063 MiB
6 %, 5065 MiB
11 %, 5073 MiB
27 %, 5073 MiB
17 %, 5073 MiB
42 %, 5073 MiB
41 %, 5073 MiB
55 %, 5073 MiB
43 %, 5073 MiB
42 %, 5073 MiB
40 %, 5073 MiB
50 %, 5073 MiB
45 %, 5073 MiB
32 %, 5075 MiB
31 %, 5079 MiB
54 %, 5079 MiB
44 %, 5079 MiB
58 %, 5079 MiB
45 %, 5079 MiB
52 %, 5079 MiB
55 %, 5079 MiB
59 %, 5079 MiB
38 %, 5079 MiB
48 %, 5079 MiB
53 %, 5079 MiB
59 %, 5079 MiB
40 %, 5079 MiB
51 %, 5079 MiB
34 %, 5079 MiB
34 %, 5079 MiB
48 %, 5079 MiB
47 %, 5079 MiB
59 %, 5079 MiB
59 %, 5079 MiB
40 %, 5079 MiB
46 %, 5079 MiB
51 %, 5079 MiB
33 %, 5079 MiB
44 %, 5079 MiB
52 %, 5079 MiB
32 %, 5079 MiB
54 %, 5079 MiB
51 %, 5079 MiB
41 %, 5079 MiB
30 %, 5079 MiB
54 %, 5079 MiB
59 %, 5079 MiB
44 %, 5079 MiB
42 %, 5079 MiB
61 %, 5079 MiB
68 %, 5079 MiB
26 %, 5089 MiB
46 %, 5089 MiB
54 %, 5089 MiB
51 %, 5089 MiB
58 %, 5089 MiB
46 %, 5089 MiB
53 %, 5089 MiB
51 %, 5089 MiB
41 %, 5089 MiB
39 %, 5089 MiB
59 %, 5089 MiB
45 %, 5089 MiB
58 %, 5089 MiB
47 %, 5089 MiB
37 %, 5089 MiB
49 %, 5089 MiB
21 %, 5089 MiB
35 %, 5089 MiB
64 %, 5089 MiB
62 %, 5089 MiB
57 %, 5089 MiB
49 %, 5089 MiB
53 %, 5089 MiB
54 %, 5089 MiB
42 %, 5089 MiB
43 %, 5089 MiB
59 %, 5089 MiB
24 %, 5089 MiB
56 %, 5089 MiB
60 %, 5089 MiB
61 %, 5089 MiB
37 %, 5089 MiB
65 %, 5089 MiB
57 %, 5089 MiB
50 %, 5089 MiB
63 %, 5089 MiB
56 %, 5089 MiB
57 %, 5089 MiB
34 %, 5089 MiB
31 %, 5089 MiB
45 %, 5089 MiB
51 %, 5089 MiB
58 %, 5089 MiB
58 %, 5089 MiB
39 %, 5089 MiB
40 %, 5089 MiB
46 %, 5089 MiB
48 %, 5089 MiB
30 %, 5089 MiB
53 %, 5089 MiB
57 %, 5089 MiB
68 %, 5089 MiB
49 %, 5089 MiB
0 %, 5105 MiB
32 %, 5105 MiB
58 %, 5105 MiB
59 %, 5105 MiB
56 %, 5105 MiB
58 %, 5105 MiB
57 %, 5105 MiB
43 %, 5105 MiB
37 %, 5105 MiB
38 %, 5105 MiB
58 %, 5105 MiB
46 %, 5105 MiB
59 %, 5105 MiB
53 %, 5105 MiB
56 %, 5105 MiB
52 %, 5105 MiB
52 %, 5105 MiB
53 %, 5105 MiB
59 %, 5105 MiB
36 %, 5105 MiB
53 %, 5105 MiB
39 %, 5105 MiB
32 %, 5105 MiB
35 %, 5105 MiB
51 %, 5105 MiB
59 %, 5105 MiB
55 %, 5105 MiB
54 %, 5105 MiB
47 %, 5105 MiB
47 %, 5105 MiB
47 %, 5105 MiB
36 %, 5105 MiB
57 %, 5105 MiB
32 %, 5105 MiB
48 %, 5105 MiB
39 %, 5105 MiB
50 %, 5105 MiB
43 %, 5105 MiB
44 %, 5105 MiB
59 %, 5105 MiB
59 %, 5105 MiB
59 %, 5105 MiB
59 %, 5105 MiB
53 %, 5105 MiB
38 %, 5105 MiB
63 %, 5105 MiB
44 %, 5105 MiB
58 %, 5105 MiB
56 %, 5105 MiB
59 %, 5105 MiB
59 %, 5105 MiB
48 %, 5105 MiB
42 %, 5105 MiB
51 %, 5105 MiB
42 %, 5105 MiB
49 %, 5105 MiB
41 %, 5105 MiB
33 %, 5105 MiB
37 %, 5105 MiB
58 %, 5105 MiB
52 %, 5105 MiB
58 %, 5105 MiB
60 %, 5105 MiB
51 %, 5105 MiB
60 %, 5105 MiB
60 %, 5105 MiB
53 %, 5105 MiB
46 %, 5105 MiB
33 %, 5105 MiB
51 %, 5105 MiB
48 %, 5105 MiB
57 %, 5105 MiB
43 %, 5105 MiB
64 %, 5105 MiB
47 %, 5105 MiB
63 %, 5105 MiB
59 %, 5105 MiB
64 %, 5105 MiB
60 %, 5105 MiB
52 %, 5105 MiB
55 %, 5105 MiB
56 %, 5105 MiB
38 %, 5105 MiB
53 %, 5105 MiB
62 %, 5105 MiB
64 %, 5105 MiB
64 %, 5105 MiB
65 %, 5105 MiB
54 %, 5105 MiB
37 %, 5105 MiB
58 %, 5105 MiB
58 %, 5105 MiB
69 %, 5105 MiB
36 %, 5105 MiB
65 %, 5105 MiB
54 %, 5105 MiB
59 %, 5105 MiB
71 %, 5105 MiB
75 %, 5105 MiB
29 %, 5105 MiB
22 %, 5141 MiB
53 %, 5141 MiB
62 %, 5141 MiB
62 %, 5141 MiB
61 %, 5141 MiB
61 %, 5141 MiB
63 %, 5141 MiB
62 %, 5141 MiB
55 %, 5141 MiB
64 %, 5141 MiB
53 %, 5141 MiB
58 %, 5141 MiB
40 %, 5141 MiB
42 %, 5141 MiB
53 %, 5141 MiB
39 %, 5141 MiB
54 %, 5141 MiB
59 %, 5141 MiB
51 %, 5141 MiB
53 %, 5141 MiB
56 %, 5141 MiB
56 %, 5141 MiB
39 %, 5141 MiB
40 %, 5141 MiB
36 %, 5141 MiB
50 %, 5141 MiB
50 %, 5141 MiB
58 %, 5141 MiB
46 %, 5141 MiB
54 %, 5141 MiB
56 %, 5141 MiB
38 %, 5141 MiB
37 %, 5141 MiB
57 %, 5141 MiB
33 %, 5141 MiB
50 %, 5141 MiB
35 %, 5141 MiB
55 %, 5141 MiB
52 %, 5141 MiB
52 %, 5141 MiB
55 %, 5141 MiB
36 %, 5141 MiB
59 %, 5141 MiB
46 %, 5141 MiB
29 %, 5141 MiB
56 %, 5141 MiB
62 %, 5141 MiB
64 %, 5141 MiB
57 %, 5141 MiB
6 %, 5141 MiB
44 %, 5141 MiB
58 %, 5141 MiB
43 %, 5141 MiB
43 %, 5141 MiB
59 %, 5141 MiB
43 %, 5141 MiB
52 %, 5141 MiB
44 %, 5141 MiB
49 %, 5141 MiB
59 %, 5141 MiB
42 %, 5141 MiB
54 %, 5141 MiB
49 %, 5141 MiB
34 %, 5141 MiB
37 %, 5141 MiB
50 %, 5141 MiB
37 %, 5141 MiB
61 %, 5141 MiB
58 %, 5141 MiB
54 %, 5141 MiB
56 %, 5141 MiB
57 %, 5141 MiB
47 %, 5141 MiB
53 %, 5141 MiB
39 %, 5141 MiB
60 %, 5141 MiB
34 %, 5141 MiB
33 %, 5141 MiB
48 %, 5141 MiB
39 %, 5141 MiB
57 %, 5141 MiB
40 %, 5141 MiB
59 %, 5141 MiB
37 %, 5141 MiB
35 %, 5141 MiB
56 %, 5141 MiB
57 %, 5141 MiB
41 %, 5141 MiB
53 %, 5141 MiB
47 %, 5141 MiB
51 %, 5141 MiB
43 %, 5141 MiB
53 %, 5141 MiB
52 %, 5141 MiB
65 %, 5141 MiB
49 %, 5141 MiB
69 %, 5141 MiB
21 %, 5141 MiB
30 %, 5141 MiB
50 %, 5141 MiB
57 %, 5141 MiB
58 %, 5141 MiB
57 %, 5141 MiB
41 %, 5141 MiB
51 %, 5141 MiB
51 %, 5141 MiB
45 %, 5141 MiB
42 %, 5141 MiB
49 %, 5141 MiB
60 %, 5141 MiB
40 %, 5141 MiB
50 %, 5141 MiB
41 %, 5141 MiB
55 %, 5141 MiB
47 %, 5141 MiB
54 %, 5141 MiB
53 %, 5141 MiB
58 %, 5141 MiB
53 %, 5141 MiB
53 %, 5141 MiB
53 %, 5141 MiB
54 %, 5141 MiB
54 %, 5141 MiB
60 %, 5141 MiB
59 %, 5141 MiB
47 %, 5141 MiB
40 %, 5141 MiB
46 %, 5141 MiB
49 %, 5141 MiB
46 %, 5141 MiB
58 %, 5141 MiB
52 %, 5141 MiB
40 %, 5141 MiB
36 %, 5141 MiB
51 %, 5141 MiB
58 %, 5141 MiB
57 %, 5141 MiB
43 %, 5141 MiB
42 %, 5141 MiB
34 %, 5141 MiB
62 %, 5141 MiB
61 %, 5141 MiB
57 %, 5141 MiB
60 %, 5141 MiB
68 %, 5141 MiB
19 %, 5141 MiB
25 %, 5141 MiB
57 %, 5141 MiB
53 %, 5141 MiB
57 %, 5141 MiB
60 %, 5141 MiB
50 %, 5141 MiB
38 %, 5141 MiB
51 %, 5141 MiB
38 %, 5141 MiB
43 %, 5141 MiB
57 %, 5141 MiB
46 %, 5141 MiB
47 %, 5141 MiB
43 %, 5141 MiB
60 %, 5141 MiB
48 %, 5141 MiB
54 %, 5141 MiB
59 %, 5141 MiB
54 %, 5141 MiB
52 %, 5141 MiB
40 %, 5141 MiB
40 %, 5141 MiB
31 %, 5141 MiB
39 %, 5141 MiB
58 %, 5141 MiB
51 %, 5141 MiB
57 %, 5141 MiB
48 %, 5141 MiB
56 %, 5141 MiB
57 %, 5141 MiB
43 %, 5141 MiB
41 %, 5141 MiB
47 %, 5141 MiB
56 %, 5141 MiB
60 %, 5141 MiB
44 %, 5141 MiB
59 %, 5141 MiB
52 %, 5141 MiB
62 %, 5141 MiB
57 %, 5141 MiB
57 %, 5141 MiB
58 %, 5141 MiB
31 %, 5141 MiB
61 %, 5141 MiB
64 %, 5141 MiB
51 %, 5141 MiB
64 %, 5141 MiB
60 %, 5141 MiB
68 %, 5141 MiB
55 %, 5141 MiB
68 %, 5141 MiB
77 %, 5141 MiB
47 %, 5141 MiB
64 %, 5141 MiB
72 %, 5141 MiB
61 %, 5141 MiB
62 %, 5141 MiB
70 %, 5141 MiB
68 %, 5141 MiB
64 %, 5141 MiB
71 %, 5141 MiB
64 %, 5141 MiB
62 %, 5141 MiB
71 %, 5141 MiB
71 %, 5141 MiB
70 %, 5141 MiB
69 %, 5141 MiB
70 %, 5141 MiB
70 %, 5141 MiB
72 %, 5141 MiB
60 %, 5141 MiB
71 %, 5141 MiB
62 %, 5141 MiB
73 %, 5141 MiB
72 %, 5141 MiB
67 %, 5141 MiB
72 %, 5141 MiB
68 %, 5141 MiB
70 %, 5141 MiB
71 %, 5141 MiB
71 %, 5141 MiB
70 %, 5141 MiB
72 %, 5141 MiB
72 %, 5141 MiB
71 %, 5141 MiB
63 %, 5141 MiB
56 %, 5141 MiB
70 %, 5141 MiB
64 %, 5141 MiB
72 %, 5141 MiB
72 %, 5141 MiB
71 %, 5141 MiB
65 %, 5141 MiB
64 %, 5141 MiB
73 %, 5141 MiB
71 %, 5141 MiB
71 %, 5141 MiB
61 %, 5141 MiB
72 %, 5141 MiB
73 %, 5141 MiB
71 %, 5141 MiB
71 %, 5141 MiB
63 %, 5141 MiB
72 %, 5141 MiB
73 %, 5141 MiB
68 %, 5141 MiB
71 %, 5141 MiB
60 %, 5141 MiB
62 %, 5141 MiB
73 %, 5141 MiB
71 %, 5141 MiB
64 %, 5141 MiB
64 %, 5141 MiB
68 %, 5141 MiB
73 %, 5141 MiB
56 %, 5141 MiB
72 %, 5141 MiB
67 %, 5141 MiB
71 %, 5141 MiB
65 %, 5141 MiB
56 %, 5141 MiB
73 %, 5141 MiB
56 %, 5141 MiB
72 %, 5141 MiB
66 %, 5141 MiB
71 %, 5141 MiB
55 %, 5141 MiB
56 %, 5141 MiB
63 %, 5141 MiB
56 %, 5141 MiB
73 %, 5141 MiB
57 %, 5141 MiB
71 %, 5141 MiB
72 %, 5141 MiB
65 %, 5141 MiB
71 %, 5141 MiB
63 %, 5141 MiB
57 %, 5141 MiB
60 %, 5141 MiB
56 %, 5141 MiB
72 %, 5141 MiB
72 %, 5141 MiB
72 %, 5141 MiB
65 %, 5141 MiB
65 %, 5141 MiB
64 %, 5141 MiB
71 %, 5141 MiB
71 %, 5141 MiB
63 %, 5141 MiB
64 %, 5141 MiB
61 %, 5141 MiB
56 %, 5141 MiB
57 %, 5141 MiB
73 %, 5141 MiB
73 %, 5141 MiB
71 %, 5141 MiB
50 %, 5141 MiB
70 %, 5141 MiB
56 %, 5141 MiB
64 %, 5141 MiB
71 %, 5141 MiB
64 %, 5141 MiB
63 %, 5141 MiB
73 %, 5141 MiB
72 %, 5141 MiB
64 %, 5141 MiB
61 %, 5141 MiB
67 %, 5141 MiB
68 %, 5141 MiB
62 %, 5141 MiB
62 %, 5141 MiB
57 %, 5141 MiB
72 %, 5141 MiB
73 %, 5141 MiB
60 %, 5141 MiB
63 %, 5141 MiB
60 %, 5141 MiB
63 %, 5141 MiB
67 %, 5141 MiB
64 %, 5141 MiB
62 %, 5141 MiB
60 %, 5141 MiB
70 %, 5141 MiB
71 %, 5141 MiB
70 %, 5141 MiB
71 %, 5141 MiB
71 %, 5141 MiB
71 %, 5141 MiB
70 %, 5141 MiB
65 %, 5141 MiB
69 %, 5141 MiB
65 %, 5141 MiB
72 %, 5141 MiB
59 %, 5141 MiB
56 %, 5141 MiB
64 %, 5141 MiB
60 %, 5141 MiB
59 %, 5141 MiB
63 %, 5141 MiB
72 %, 5141 MiB
72 %, 5141 MiB
65 %, 5141 MiB
72 %, 5141 MiB
74 %, 5141 MiB
72 %, 5141 MiB
60 %, 5141 MiB
52 %, 5141 MiB
60 %, 5141 MiB
70 %, 5141 MiB
57 %, 5141 MiB
57 %, 5141 MiB
71 %, 5141 MiB
63 %, 5141 MiB
61 %, 5141 MiB
63 %, 5141 MiB
68 %, 5141 MiB
66 %, 5141 MiB
65 %, 5141 MiB
70 %, 5141 MiB
65 %, 5141 MiB
61 %, 5141 MiB
70 %, 5141 MiB
73 %, 5141 MiB
73 %, 5141 MiB
64 %, 5141 MiB
63 %, 5141 MiB
71 %, 5141 MiB
72 %, 5141 MiB
60 %, 5141 MiB
64 %, 5141 MiB
72 %, 5141 MiB
70 %, 5141 MiB
73 %, 5141 MiB
65 %, 5141 MiB
65 %, 5141 MiB
65 %, 5141 MiB
62 %, 5141 MiB
55 %, 5141 MiB
62 %, 5141 MiB
64 %, 5141 MiB
56 %, 5141 MiB
73 %, 5141 MiB
69 %, 5141 MiB
60 %, 5141 MiB
64 %, 5141 MiB
62 %, 5141 MiB
70 %, 5141 MiB
70 %, 5141 MiB
64 %, 5141 MiB
72 %, 5141 MiB
69 %, 5141 MiB
72 %, 5141 MiB
73 %, 5141 MiB
70 %, 5141 MiB
67 %, 5141 MiB
61 %, 5141 MiB
70 %, 5141 MiB
64 %, 5141 MiB
70 %, 5141 MiB
73 %, 5141 MiB
60 %, 5141 MiB
72 %, 5141 MiB
64 %, 5141 MiB
63 %, 5141 MiB
64 %, 5141 MiB
64 %, 5141 MiB
56 %, 5141 MiB
70 %, 5141 MiB
69 %, 5141 MiB
72 %, 5141 MiB
49 %, 5141 MiB
74 %, 5141 MiB
73 %, 5141 MiB
73 %, 5141 MiB
62 %, 5141 MiB
63 %, 5141 MiB
63 %, 5141 MiB
60 %, 5141 MiB
