utilization.gpu [%], memory.used [MiB]
60 %, 5335 MiB
64 %, 5335 MiB
70 %, 5335 MiB
70 %, 5335 MiB
70 %, 5335 MiB
70 %, 5335 MiB
57 %, 5335 MiB
60 %, 5335 MiB
60 %, 5335 MiB
60 %, 5335 MiB
61 %, 5335 MiB
60 %, 5335 MiB
60 %, 5335 MiB
62 %, 5335 MiB
63 %, 5335 MiB
66 %, 5335 MiB
71 %, 5335 MiB
59 %, 5335 MiB
60 %, 5335 MiB
60 %, 5335 MiB
60 %, 5335 MiB
60 %, 5335 MiB
60 %, 5335 MiB
60 %, 5335 MiB
60 %, 5335 MiB
63 %, 5335 MiB
65 %, 5335 MiB
74 %, 5335 MiB
72 %, 5335 MiB
60 %, 5335 MiB
60 %, 5335 MiB
60 %, 5335 MiB
60 %, 5335 MiB
60 %, 5335 MiB
60 %, 5335 MiB
60 %, 5335 MiB
59 %, 5335 MiB
65 %, 5335 MiB
70 %, 5335 MiB
69 %, 5335 MiB
73 %, 5335 MiB
2 %, 5712 MiB
0 %, 9640 MiB
82 %, 12910 MiB
83 %, 12910 MiB
84 %, 12910 MiB
84 %, 12928 MiB
82 %, 12928 MiB
82 %, 12928 MiB
82 %, 12928 MiB
82 %, 12928 MiB
82 %, 12928 MiB
83 %, 12928 MiB
83 %, 12928 MiB
83 %, 12928 MiB
85 %, 12928 MiB
87 %, 12928 MiB
89 %, 12928 MiB
87 %, 12928 MiB
82 %, 12928 MiB
82 %, 12928 MiB
82 %, 12928 MiB
82 %, 12928 MiB
82 %, 12928 MiB
82 %, 12928 MiB
83 %, 12928 MiB
82 %, 12928 MiB
83 %, 12928 MiB
83 %, 12928 MiB
86 %, 12928 MiB
86 %, 12928 MiB
89 %, 12928 MiB
89 %, 12928 MiB
89 %, 12928 MiB
86 %, 12928 MiB
82 %, 12928 MiB
81 %, 12930 MiB
82 %, 12930 MiB
82 %, 12930 MiB
83 %, 12930 MiB
83 %, 12930 MiB
82 %, 12930 MiB
83 %, 12930 MiB
84 %, 12930 MiB
85 %, 12930 MiB
86 %, 12930 MiB
83 %, 12930 MiB
86 %, 12930 MiB
82 %, 12930 MiB
82 %, 12930 MiB
81 %, 12930 MiB
82 %, 12930 MiB
81 %, 12930 MiB
83 %, 12930 MiB
84 %, 12930 MiB
84 %, 12930 MiB
84 %, 12930 MiB
84 %, 12930 MiB
87 %, 12930 MiB
87 %, 12930 MiB
85 %, 12930 MiB
