utilization.gpu [%], memory.used [MiB]
61 %, 5337 MiB
62 %, 5337 MiB
61 %, 5337 MiB
65 %, 5337 MiB
66 %, 5337 MiB
70 %, 5337 MiB
69 %, 5337 MiB
73 %, 5337 MiB
60 %, 5337 MiB
60 %, 5337 MiB
60 %, 5337 MiB
61 %, 5337 MiB
61 %, 5337 MiB
61 %, 5337 MiB
59 %, 5337 MiB
66 %, 5337 MiB
66 %, 5337 MiB
73 %, 5337 MiB
74 %, 5337 MiB
60 %, 5337 MiB
61 %, 5337 MiB
59 %, 5337 MiB
59 %, 5337 MiB
60 %, 5337 MiB
59 %, 5337 MiB
60 %, 5337 MiB
60 %, 5337 MiB
62 %, 5337 MiB
69 %, 5337 MiB
74 %, 5337 MiB
3 %, 5337 MiB
0 %, 5790 MiB
0 %, 5790 MiB
0 %, 5790 MiB
0 %, 5790 MiB
0 %, 5790 MiB
31 %, 9642 MiB
1 %, 12836 MiB
81 %, 12914 MiB
84 %, 12914 MiB
83 %, 12914 MiB
84 %, 12914 MiB
84 %, 12914 MiB
85 %, 12920 MiB
82 %, 12932 MiB
82 %, 12932 MiB
82 %, 12932 MiB
82 %, 12932 MiB
83 %, 12932 MiB
83 %, 12932 MiB
82 %, 12932 MiB
84 %, 12932 MiB
84 %, 12932 MiB
84 %, 12932 MiB
85 %, 12932 MiB
86 %, 12932 MiB
86 %, 12932 MiB
82 %, 12934 MiB
82 %, 12934 MiB
82 %, 12934 MiB
82 %, 12934 MiB
82 %, 12934 MiB
82 %, 12934 MiB
83 %, 12934 MiB
83 %, 12934 MiB
83 %, 12934 MiB
83 %, 12934 MiB
83 %, 12934 MiB
85 %, 12934 MiB
86 %, 12934 MiB
86 %, 12934 MiB
86 %, 12934 MiB
83 %, 12934 MiB
82 %, 12934 MiB
82 %, 12934 MiB
83 %, 12934 MiB
83 %, 12934 MiB
82 %, 12934 MiB
83 %, 12934 MiB
83 %, 12934 MiB
84 %, 12934 MiB
84 %, 12934 MiB
85 %, 12934 MiB
89 %, 12934 MiB
86 %, 12934 MiB
82 %, 12934 MiB
82 %, 12934 MiB
83 %, 12934 MiB
82 %, 12934 MiB
83 %, 12934 MiB
83 %, 12934 MiB
83 %, 12934 MiB
83 %, 12934 MiB
83 %, 12934 MiB
84 %, 12934 MiB
84 %, 12934 MiB
85 %, 12934 MiB
85 %, 12934 MiB
87 %, 12934 MiB
86 %, 12934 MiB
83 %, 12934 MiB
82 %, 12934 MiB
84 %, 12934 MiB
84 %, 12934 MiB
84 %, 12934 MiB
85 %, 12934 MiB
83 %, 12934 MiB
84 %, 12934 MiB
84 %, 12934 MiB
83 %, 12934 MiB
84 %, 12934 MiB
83 %, 12934 MiB
86 %, 12934 MiB
89 %, 12934 MiB
89 %, 12934 MiB
87 %, 12934 MiB
94 %, 13148 MiB
84 %, 13148 MiB
84 %, 13148 MiB
84 %, 13148 MiB
84 %, 13148 MiB
85 %, 13148 MiB
85 %, 13148 MiB
87 %, 13148 MiB
88 %, 13148 MiB
90 %, 13148 MiB
90 %, 13148 MiB
85 %, 13148 MiB
83 %, 13148 MiB
84 %, 13148 MiB
84 %, 13148 MiB
85 %, 13148 MiB
85 %, 13148 MiB
85 %, 13148 MiB
88 %, 13148 MiB
89 %, 13148 MiB
89 %, 13148 MiB
84 %, 13148 MiB
85 %, 13148 MiB
85 %, 13148 MiB
84 %, 13148 MiB
83 %, 13148 MiB
84 %, 13148 MiB
84 %, 13148 MiB
86 %, 13148 MiB
87 %, 13148 MiB
89 %, 13148 MiB
88 %, 13148 MiB
84 %, 13148 MiB
84 %, 13148 MiB
85 %, 13148 MiB
84 %, 13148 MiB
85 %, 13148 MiB
85 %, 13148 MiB
86 %, 13148 MiB
87 %, 13148 MiB
87 %, 13148 MiB
89 %, 13148 MiB
84 %, 13148 MiB
84 %, 13148 MiB
84 %, 13148 MiB
84 %, 13148 MiB
84 %, 13148 MiB
85 %, 13148 MiB
85 %, 13148 MiB
85 %, 13148 MiB
85 %, 13148 MiB
86 %, 13148 MiB
88 %, 13148 MiB
0 %, 13148 MiB
0 %, 13148 MiB
0 %, 13148 MiB
0 %, 13148 MiB
